months_as_customer,age,policy_number,policy_bind_year,policy_state,policy_csl,policy_deductable,policy_annual_premium,insured_sex,insured_education_level,insured_occupation,incident_type,collision_type,incident_severity,total_claim_amount,vehicle_type,fraud_reported
103,74,701763,2009,OH,250/500,1000,1164,MALE,Associate,prof-specialty,Parked Car,Rear Collision,Total Loss,26146,Sedan,N
349,34,584090,2016,IN,500/1000,500,1320,FEMALE,Masters,tech-support,Vehicle Theft,Front Collision,Minor Damage,13802,Sports Car,N
271,56,973698,2005,IN,500/1000,1000,949,MALE,High School,craft-repair,Multi-vehicle Collision,Front Collision,Major Damage,9896,SUV,N
107,39,776787,2009,IN,100/300,500,413,MALE,Associate,tech-support,Parked Car,Front Collision,Minor Damage,30133,SUV,N
72,43,987164,2012,OH,250/500,1000,791,MALE,PhD,tech-support,Vehicle Theft,Front Collision,Minor Damage,15526,Sports Car,N
189,61,389227,2017,IL,250/500,2000,1770,FEMALE,Masters,prof-specialty,Single Vehicle Collision,Side Collision,Major Damage,13278,SUV,N
21,42,842406,2012,IL,250/500,2000,709,MALE,Associate,craft-repair,Single Vehicle Collision,Front Collision,Major Damage,48010,SUV,Y
103,34,943804,2015,OH,500/1000,2000,785,MALE,High School,sales,Vehicle Theft,Front Collision,Total Loss,27551,Sedan,N
122,30,748074,2005,IN,250/500,1000,1632,FEMALE,College,prof-specialty,Multi-vehicle Collision,Front Collision,Total Loss,27298,Truck,N
215,37,632101,2017,IL,500/1000,1000,1780,MALE,PhD,sales,Parked Car,Rear Collision,Minor Damage,37338,SUV,N
331,42,131598,2007,IN,250/500,2000,1373,FEMALE,High School,craft-repair,Vehicle Theft,Front Collision,Total Loss,24191,SUV,N
88,21,605934,2021,OH,250/500,2000,1991,FEMALE,Masters,tech-support,Single Vehicle Collision,Rear Collision,Minor Damage,35092,Truck,N
373,27,882239,2009,IN,100/300,500,1517,FEMALE,Masters,exec-managerial,Parked Car,Rear Collision,Minor Damage,25871,Truck,Y
100,20,717394,2012,IL,250/500,500,1516,MALE,College,exec-managerial,Single Vehicle Collision,Rear Collision,Total Loss,11721,SUV,N
360,58,389226,2018,IL,250/500,500,739,FEMALE,College,craft-repair,Single Vehicle Collision,Rear Collision,Total Loss,40413,Sports Car,Y
152,62,915673,2008,IN,100/300,2000,996,FEMALE,PhD,exec-managerial,Vehicle Theft,Side Collision,Total Loss,32279,SUV,Y
131,35,327286,2015,OH,500/1000,2000,1868,FEMALE,PhD,sales,Single Vehicle Collision,Front Collision,Major Damage,16404,Sports Car,N
150,64,537785,2019,IN,500/1000,2000,1156,FEMALE,College,exec-managerial,Parked Car,Rear Collision,Minor Damage,6486,Sports Car,N
309,53,111745,2011,OH,250/500,500,1445,MALE,College,craft-repair,Multi-vehicle Collision,Front Collision,Minor Damage,37198,Sports Car,Y
258,64,912461,2015,IN,500/1000,1000,690,FEMALE,Masters,craft-repair,Vehicle Theft,Rear Collision,Minor Damage,30687,Truck,N
344,39,244097,2009,IL,250/500,2000,1908,MALE,College,sales,Parked Car,Side Collision,Total Loss,15156,SUV,N
294,51,332732,2009,OH,100/300,1000,705,FEMALE,Associate,exec-managerial,Vehicle Theft,Rear Collision,Total Loss,2567,SUV,N
386,64,769648,2012,OH,100/300,1000,1033,MALE,High School,exec-managerial,Single Vehicle Collision,Front Collision,Total Loss,4179,Sedan,N
192,25,713474,2014,OH,250/500,1000,1551,FEMALE,College,tech-support,Single Vehicle Collision,Front Collision,Total Loss,4019,Truck,N
277,57,984200,2010,IL,100/300,500,1024,MALE,PhD,prof-specialty,Parked Car,Side Collision,Total Loss,17919,Sedan,N
161,66,313030,2019,IN,100/300,1000,1338,FEMALE,Associate,craft-repair,Parked Car,Front Collision,Major Damage,21703,Sedan,N
314,61,824238,2020,IL,250/500,2000,1696,MALE,PhD,tech-support,Multi-vehicle Collision,Front Collision,Total Loss,20704,Sports Car,N
22,36,666134,2021,OH,250/500,500,1247,MALE,Associate,craft-repair,Parked Car,Rear Collision,Minor Damage,20030,Truck,Y
253,59,438076,2012,IN,100/300,2000,841,MALE,College,tech-support,Parked Car,Front Collision,Total Loss,5909,Sedan,N
236,58,248554,2012,IL,500/1000,2000,902,FEMALE,High School,prof-specialty,Vehicle Theft,Rear Collision,Minor Damage,10015,SUV,N
345,54,385555,2013,OH,500/1000,500,529,MALE,PhD,tech-support,Single Vehicle Collision,Side Collision,Total Loss,5420,Sedan,N
49,23,544191,2006,OH,250/500,2000,1555,MALE,Associate,craft-repair,Parked Car,Front Collision,Total Loss,49653,Truck,Y
59,69,553761,2019,IL,250/500,2000,996,MALE,Masters,exec-managerial,Multi-vehicle Collision,Rear Collision,Minor Damage,18740,SUV,N
170,43,605518,2022,IL,500/1000,500,1905,MALE,College,craft-repair,Parked Car,Front Collision,Minor Damage,42253,SUV,N
188,51,440941,2007,IL,100/300,2000,1261,FEMALE,High School,sales,Single Vehicle Collision,Rear Collision,Minor Damage,32328,SUV,N
271,73,414451,2021,OH,500/1000,1000,1813,MALE,College,sales,Parked Car,Side Collision,Minor Damage,21465,Sports Car,N
190,62,384186,2008,IL,500/1000,2000,992,MALE,Masters,sales,Vehicle Theft,Rear Collision,Major Damage,6131,SUV,N
175,23,677218,2008,OH,500/1000,1000,1398,MALE,High School,sales,Single Vehicle Collision,Front Collision,Minor Damage,12652,Sports Car,N
51,54,872944,2018,IL,500/1000,2000,724,FEMALE,Masters,prof-specialty,Parked Car,Rear Collision,Total Loss,23507,Sports Car,Y
364,74,537629,2013,OH,250/500,500,1492,MALE,College,exec-managerial,Vehicle Theft,Front Collision,Total Loss,49147,Sedan,Y
55,50,868747,2013,OH,250/500,500,847,MALE,Associate,exec-managerial,Single Vehicle Collision,Side Collision,Major Damage,49671,Sedan,Y
244,70,324695,2022,IN,100/300,2000,1951,MALE,College,craft-repair,Parked Car,Rear Collision,Minor Damage,25806,SUV,N
320,39,984315,2014,IL,100/300,500,1218,MALE,College,tech-support,Vehicle Theft,Front Collision,Total Loss,21171,Truck,N
131,38,395900,2008,IL,100/300,2000,1588,FEMALE,College,craft-repair,Multi-vehicle Collision,Front Collision,Major Damage,22593,SUV,N
307,23,153268,2016,OH,100/300,500,1911,MALE,PhD,craft-repair,Vehicle Theft,Front Collision,Total Loss,11470,Sedan,N
135,23,532430,2012,OH,500/1000,1000,1108,MALE,Masters,craft-repair,Multi-vehicle Collision,Rear Collision,Major Damage,46308,SUV,Y
21,72,312943,2006,OH,250/500,2000,1849,FEMALE,Masters,craft-repair,Parked Car,Rear Collision,Major Damage,23326,Sedan,N
329,65,883204,2017,IN,250/500,1000,664,FEMALE,Masters,exec-managerial,Vehicle Theft,Rear Collision,Minor Damage,6597,SUV,Y
167,21,521818,2020,IN,100/300,1000,1011,FEMALE,PhD,tech-support,Multi-vehicle Collision,Side Collision,Major Damage,39304,Truck,Y
274,47,808691,2006,OH,100/300,2000,1765,MALE,Associate,craft-repair,Single Vehicle Collision,Front Collision,Total Loss,32788,SUV,Y
388,28,673189,2015,IL,500/1000,1000,1231,FEMALE,College,exec-managerial,Vehicle Theft,Front Collision,Total Loss,44725,Truck,Y
89,47,462130,2014,IL,500/1000,2000,1701,MALE,Associate,craft-repair,Parked Car,Side Collision,Minor Damage,38930,Truck,N
316,48,294488,2019,IN,100/300,1000,1073,FEMALE,PhD,sales,Single Vehicle Collision,Side Collision,Minor Damage,35071,SUV,N
14,41,787556,2021,IN,250/500,2000,1862,MALE,Masters,craft-repair,Multi-vehicle Collision,Rear Collision,Major Damage,7067,Truck,Y
242,72,490530,2012,OH,250/500,2000,556,FEMALE,College,craft-repair,Vehicle Theft,Rear Collision,Minor Damage,7024,Truck,Y
265,26,892058,2022,IL,250/500,500,1845,MALE,High School,prof-specialty,Vehicle Theft,Rear Collision,Total Loss,9715,Sedan,Y
346,72,762784,2013,OH,100/300,2000,650,FEMALE,High School,sales,Parked Car,Rear Collision,Total Loss,33770,Sedan,Y
53,20,899289,2012,IN,250/500,2000,1277,MALE,Associate,tech-support,Single Vehicle Collision,Rear Collision,Minor Damage,13226,Truck,N
386,68,341531,2018,IL,500/1000,1000,929,MALE,Masters,craft-repair,Vehicle Theft,Rear Collision,Minor Damage,37399,Sports Car,N
340,48,346693,2022,IL,500/1000,2000,726,MALE,High School,tech-support,Vehicle Theft,Side Collision,Minor Damage,15412,SUV,N
92,57,803650,2016,IN,100/300,500,1360,MALE,Associate,sales,Single Vehicle Collision,Side Collision,Major Damage,49805,Truck,Y
367,54,650719,2018,OH,500/1000,1000,1294,MALE,PhD,craft-repair,Vehicle Theft,Side Collision,Major Damage,46415,SUV,Y
264,53,971408,2021,OH,100/300,1000,496,MALE,Associate,prof-specialty,Single Vehicle Collision,Front Collision,Total Loss,14569,Sedan,N
35,41,338360,2007,IL,250/500,500,912,MALE,Associate,exec-managerial,Single Vehicle Collision,Front Collision,Major Damage,4369,SUV,N
206,48,444855,2011,IN,250/500,1000,615,MALE,Associate,prof-specialty,Single Vehicle Collision,Rear Collision,Major Damage,46427,Truck,Y
81,23,607403,2021,IL,250/500,1000,1555,FEMALE,College,prof-specialty,Parked Car,Side Collision,Major Damage,34021,Truck,Y
50,19,126385,2016,IN,500/1000,1000,1683,MALE,Associate,exec-managerial,Single Vehicle Collision,Front Collision,Major Damage,2528,Truck,N
360,37,531374,2013,OH,100/300,1000,524,MALE,Associate,exec-managerial,Single Vehicle Collision,Front Collision,Total Loss,45270,Truck,Y
388,45,516235,2019,IN,250/500,500,1505,FEMALE,College,exec-managerial,Multi-vehicle Collision,Side Collision,Minor Damage,32314,Sports Car,N
2,28,380783,2022,OH,100/300,500,1706,MALE,College,craft-repair,Multi-vehicle Collision,Front Collision,Total Loss,39443,Sports Car,Y
390,21,185530,2017,IN,250/500,1000,458,FEMALE,PhD,tech-support,Parked Car,Front Collision,Major Damage,20047,Sports Car,N
54,32,855271,2012,IL,500/1000,1000,1967,MALE,Masters,tech-support,Single Vehicle Collision,Side Collision,Minor Damage,21748,Truck,N
106,23,383707,2018,OH,500/1000,500,560,FEMALE,High School,exec-managerial,Multi-vehicle Collision,Front Collision,Minor Damage,37109,Sports Car,N
260,71,477816,2012,IL,100/300,500,683,FEMALE,High School,prof-specialty,Multi-vehicle Collision,Side Collision,Minor Damage,15919,SUV,N
310,66,529660,2018,IL,500/1000,500,505,MALE,Associate,sales,Vehicle Theft,Front Collision,Total Loss,49498,Truck,Y
191,47,501927,2011,OH,500/1000,1000,1528,FEMALE,PhD,exec-managerial,Single Vehicle Collision,Side Collision,Minor Damage,17256,Sedan,N
218,73,829678,2016,OH,100/300,1000,1862,MALE,Associate,prof-specialty,Multi-vehicle Collision,Front Collision,Total Loss,6905,Truck,N
44,55,445114,2015,IL,250/500,2000,627,MALE,High School,prof-specialty,Parked Car,Front Collision,Total Loss,10884,SUV,N
162,68,343373,2015,IL,500/1000,500,717,MALE,College,craft-repair,Vehicle Theft,Side Collision,Major Damage,30906,Sports Car,Y
202,74,447697,2017,IL,100/300,1000,1887,MALE,Masters,craft-repair,Vehicle Theft,Front Collision,Major Damage,43911,Truck,Y
270,19,261779,2022,IL,500/1000,500,1201,FEMALE,PhD,tech-support,Single Vehicle Collision,Side Collision,Minor Damage,7950,Sports Car,N
351,32,270182,2006,OH,500/1000,1000,1273,MALE,College,tech-support,Single Vehicle Collision,Side Collision,Minor Damage,3360,Truck,Y
304,28,817148,2019,OH,500/1000,500,871,FEMALE,Masters,sales,Vehicle Theft,Front Collision,Major Damage,39895,SUV,Y
271,25,707167,2022,IL,500/1000,1000,1479,FEMALE,PhD,sales,Parked Car,Rear Collision,Total Loss,23946,Truck,Y
215,43,338260,2019,IN,100/300,2000,1024,MALE,PhD,sales,Single Vehicle Collision,Front Collision,Total Loss,49020,Sports Car,Y
252,68,931291,2016,IN,100/300,2000,412,MALE,High School,sales,Single Vehicle Collision,Rear Collision,Major Damage,10730,Sports Car,N
